,discounted_price,actual_price,discount_percentage,rating,rating_count,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,Electronics,"HomeTheater,TV&Video",Accessories,HDMICables,Televisions,SmartTelevisions,RemoteControls,StandardTelevisions,"TVMounts,Stands&Turntables",TVWall&CeilingMounts,RCACables,HomeAudio,SpeakerAccessories,Mounts,OpticalCables,Projectors,Adapters,SatelliteEquipment,SatelliteReceivers,DVICables,SpeakerCables,MediaStreamingDevices,StreamingClients,AVReceivers&Amplifiers,Speakers,TowerSpeakers,3DGlasses,WearableTechnology,SmartWatches,Mobiles&Accessories,MobileAccessories,Chargers,PowerBanks,Smartphones&BasicMobiles,Smartphones,MemoryCards,MicroSD,BasicMobiles,"Headphones,Earbuds&Accessories",Headphones,In-Ear,AutomobileChargers,AutomobileAccessories,Cradles,WallChargers,Cables&Adapters,OTGAdapters,Photo&VideoAccessories,Tripods,SelfieSticks,Stands,CableConnectionProtectors,Décor,"Maintenance,Upkeep&Repairs",ScreenProtectors,StylusPens,Bedstand&DeskMounts,Cases&Covers,BasicCases,HandlebarMounts,On-Ear,LaptopAccessories,CameraPrivacyCovers,PhoneCharms,Shower&WallMounts,ExternalDevices&DataStorage,PenDrives,"Keyboards,Mice&InputDevices",Mice,GraphicTablets,Lapdesks,NotebookComputerStands,Keyboards,MusicalInstruments,Microphones,Condenser,GeneralPurposeBatteries&BatteryChargers,DisposableBatteries,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",Pens&Refills,GelInkRollerballPens,Home&Kitchen,CraftMaterials,Scrapbooking,Tape,Keyboard&MouseSets,ExternalHardDisks,Cameras&Photography,VideoCameras,Tripods&Monopods,Tabletop&TravelTripods,OfficeElectronics,Calculators,Scientific,Repeaters&Extenders,TripodLegs,"Printers,Inks&Accessories","Inks,Toners&Cartridges",InkjetInkCartridges,Keyboard&MiceAccessories,DustCovers,PCGamingPeripherals,GamingMice,PaintingMaterials,Paints,MousePads,HardDiskBags,Flashes,Macro&RinglightFlashes,Routers,Over-Ear,BluetoothSpeakers,"Notebooks,WritingPads&Diaries",WireboundNotebooks,RechargeableBatteries,BluetoothAdapters,USBtoUSBAdapters,CompleteTripodUnits,Notepads&MemoBooks,Film,Monitors,USBGadgets,Lamps,Cleaners,CleaningKits,SecurityCameras,DomeCameras,TabletAccessories,Gamepads,Basic,USBHubs,Audio&VideoAccessories,PCMicrophones,OutdoorSpeakers,Bags&Sleeves,LaptopSleeves&Slipcases,ExternalMemoryCardReaders,BottledInk,CompositionNotebooks,RetractableBallpointPens,EthernetCables,Components,Memory,UninterruptedPowerSupplies,Cases,SecureDigitalCards,Flashes&SelfieLights,SelfieLights,Webcams&VoIPEquipment,Webcams,CoolingPads,HomeImprovement,Electrical,Adapters&Multi-Outlets,Copy&PrintingPaper,ColouredPaper,InternalSolidStateDrives,MultimediaSpeakerSystems,DataCards&Dongles,LaptopChargers&PowerSupplies,PCSpeakers,Batteries&Chargers,BatteryChargers,"Bags,Cases&Sleeves",StickBallpointPens,DrawingMaterials,DrawingMedia,Pencils,WoodenPencils,InternalHardDrives,Printers,Pens,SATACables,PCHeadsets,GamingKeyboards,SoundbarSpeakers,Earpads,InkjetPrinters,Toys&Games,Arts&Crafts,Drawing&PaintingSupplies,ColouringPens&Markers,Headsets,ExternalSolidStateDrives,PowerLANAdapters,InkjetInkRefills&Kits,PhotoStudio&Lighting,PhotoBackgroundAccessories,BackgroundSupports,Financial&Business,PowerAccessories,SurgeProtectors,Tablets,CordManagement,TonerCartridges,LiquidInkRollerballPens,FountainPens,HardDriveAccessories,Caddies,Laptops,TraditionalLaptops,Kitchen&HomeAppliances,SmallKitchenAppliances,Kettles&HotWaterDispensers,ElectricKettles,"Heating,Cooling&AirQuality",RoomHeaters,ElectricHeaters,FanHeaters,"Vacuum,Cleaning&Ironing","Irons,Steamers&Accessories",LintShavers,DigitalKitchenScales,Kitchen&Dining,KitchenTools,ManualChoppers&Chippers,Choppers,InductionCooktop,HandBlenders,Irons,DryIrons,MixerGrinders,WaterHeaters&Geysers,InstantWaterHeaters,Kettle&ToasterSets,StorageWaterHeaters,ImmersionRods,DeepFatFryers,AirFryers,HomeStorage&Organization,LaundryOrganization,LaundryBaskets,SteamIrons,JuicerMixerGrinders,Vacuums&FloorCare,Vacuums,HandheldVacuums,EggBoilers,SandwichMakers,MiniFoodProcessors&Choppers,DigitalScales,VacuumSealers,Fans,CeilingFans,CanisterVacuums,"PressureWashers,Steam&WindowCleaners",HalogenHeaters,Pop-upToasters,HeatConvectors,"Coffee,Tea&Espresso",CoffeeGrinders,ElectricGrinders,ExhaustFans,DripCoffeeMachines,WaterPurifiers&Accessories,WaterPurifierAccessories,WaterCartridges,Rice&PastaCookers,Car&Motorbike,CarAccessories,InteriorAccessories,AirPurifiers&Ionizers,Wet-DryVacuums,AirPurifiers,HEPAAirPurifiers,WaterFilters&Purifiers,LaundryBags,SewingMachines&Accessories,Sewing&EmbroideryMachines,IroningAccessories,SprayBottles,HandMixers,Mills&Grinders,WetGrinders,OvenToasterGrills,Juicers,Health&PersonalCare,HomeMedicalSupplies&Equipment,HealthMonitors,WeighingScales,DigitalBathroomScales,EspressoMachines,TableFans,MilkFrothers,Humidifiers,SmallApplianceParts&Accessories,StandMixerAccessories,RoboticVacuums,YogurtMakers,ColdPressJuicers,AirConditioners,Split-SystemAirConditioners,WaffleMakers&Irons,StovetopEspressoPots,CoffeeMakerAccessories,MeasuringSpoons,CoffeePresses,RotiMakers,Parts&Accessories,FanParts&Accessories,StandMixers,PedestalFans,VacuumAccessories,VacuumBags,HandheldBags,user_count
12,219.0,700.0,69.0,4.4,426973.0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
65,309.0,1400.0,78.0,4.4,426973.0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
47,309.0,475.0,35.0,4.4,426973.0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
684,219.0,700.0,69.0,4.4,426972.0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
400,379.0,999.0,62.0,4.1,363713.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
352,349.0,999.0,65.0,4.1,363713.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
584,365.0,999.0,63.0,4.1,363711.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
370,8499.0,10999.0,23.0,4.1,313836.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
371,6499.0,8499.0,24.0,4.1,313836.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
473,6499.0,7999.0,19.0,4.1,313832.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
